timestamp,pnl,acc_realized,closed_trades,win_trades,lose_trades,note
2025-11-22T00:00:00,1471.36,1471.36,1,1,0,2025-11-22T00:00:00: Closed trade PnL: +1471.36 | AccRealized: +1471.36
2025-04-03T00:00:00,-2470.38,-2470.38,1,0,1,2025-04-03T00:00:00: Closed trade PnL: -2470.38 | AccRealized: -2470.38
2025-04-03T04:00:00,-403.32,-2873.70,2,0,2,2025-04-03T04:00:00: Closed trade PnL: -403.32 | AccRealized: -2873.70
2025-04-03T20:00:00,-1335.24,-4208.94,3,0,3,2025-04-03T20:00:00: Closed trade PnL: -1335.24 | AccRealized: -4208.94
2025-04-04T00:00:00,-479.58,-4688.52,4,0,4,2025-04-04T00:00:00: Closed trade PnL: -479.58 | AccRealized: -4688.52
2025-04-20T00:00:00,1925.27,-2763.25,5,1,4,2025-04-20T00:00:00: Closed trade PnL: +1925.27 | AccRealized: -2763.25
2025-04-20T20:00:00,149.20,-2614.05,6,2,4,2025-04-20T20:00:00: Closed trade PnL: +149.20 | AccRealized: -2614.05
2025-05-15T00:00:00,16285.45,13671.40,7,3,4,2025-05-15T00:00:00: Closed trade PnL: +16285.45 | AccRealized: +13671.40
2025-05-15T08:00:00,832.14,14503.54,8,4,4,2025-05-15T08:00:00: Closed trade PnL: +832.14 | AccRealized: +14503.54
2025-06-01T00:00:00,4153.54,18657.08,9,5,4,2025-06-01T00:00:00: Closed trade PnL: +4153.54 | AccRealized: +18657.08
2025-06-03T00:00:00,-1433.00,17224.08,10,5,5,2025-06-03T00:00:00: Closed trade PnL: -1433.00 | AccRealized: +17224.08
2025-06-22T00:00:00,-69.88,17154.20,11,5,6,2025-06-22T00:00:00: Closed trade PnL: -69.88 | AccRealized: +17154.20
2025-06-26T00:00:00,-2031.67,15122.53,12,5,7,2025-06-26T00:00:00: Closed trade PnL: -2031.67 | AccRealized: +15122.53
2025-07-18T16:00:00,8154.07,23276.60,13,6,7,2025-07-18T16:00:00: Closed trade PnL: +8154.07 | AccRealized: +23276.60
2025-08-02T00:00:00,231.83,23508.42,14,7,7,2025-08-02T00:00:00: Closed trade PnL: +231.83 | AccRealized: +23508.42
2025-08-24T00:00:00,496.68,24005.10,15,8,7,2025-08-24T00:00:00: Closed trade PnL: +496.68 | AccRealized: +24005.10
2025-08-27T00:00:00,3612.38,27617.48,16,9,7,2025-08-27T00:00:00: Closed trade PnL: +3612.38 | AccRealized: +27617.48
2025-08-29T16:00:00,-81.54,27535.94,17,9,8,2025-08-29T16:00:00: Closed trade PnL: -81.54 | AccRealized: +27535.94
2025-08-29T20:00:00,-1.00,27534.95,18,9,9,2025-08-29T20:00:00: Closed trade PnL: -1.00 | AccRealized: +27534.95
2025-09-25T08:00:00,-101.43,27433.52,19,9,10,2025-09-25T08:00:00: Closed trade PnL: -101.43 | AccRealized: +27433.52
2025-09-25T20:00:00,-50.54,27382.98,20,9,11,2025-09-25T20:00:00: Closed trade PnL: -50.54 | AccRealized: +27382.98
2025-09-26T12:00:00,0.41,27383.39,21,10,11,2025-09-26T12:00:00: Closed trade PnL: +0.41 | AccRealized: +27383.39
2025-10-10T20:00:00,-2458.25,24925.14,22,10,12,2025-10-10T20:00:00: Closed trade PnL: -2458.25 | AccRealized: +24925.14
2025-10-17T00:00:00,199.14,25124.28,23,11,12,2025-10-17T00:00:00: Closed trade PnL: +199.14 | AccRealized: +25124.28
2025-10-25T00:00:00,1712.33,26836.60,24,12,12,2025-10-25T00:00:00: Closed trade PnL: +1712.33 | AccRealized: +26836.60
2025-10-26T00:00:00,-19.78,26816.82,25,12,13,2025-10-26T00:00:00: Closed trade PnL: -19.78 | AccRealized: +26816.82
2025-10-30T16:00:00,-1843.50,24973.32,26,12,14,2025-10-30T16:00:00: Closed trade PnL: -1843.50 | AccRealized: +24973.32
2025-11-04T00:00:00,-1.79,24971.53,27,12,15,2025-11-04T00:00:00: Closed trade PnL: -1.79 | AccRealized: +24971.53
2025-11-15T00:00:00,868.74,25840.27,28,13,15,2025-11-15T00:00:00: Closed trade PnL: +868.74 | AccRealized: +25840.27
2025-04-03T00:00:00,-2631.94,-2631.94,1,0,1,2025-04-03T00:00:00: Closed trade PnL: -2631.94 | AccRealized: -2631.94
