timestamp,bar_number,agent_name,input_tokens,output_tokens,total_tokens,model,notes
2026-01-11T15:27:05.970103,4421,S,1846,1527,3373,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:27:10.189105,4421,A,5081,779,5860,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:27:12.702894,4421,B,3084,435,3519,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:27:21.243077,4422,S,1846,1700,3546,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:27:25.663016,4422,A,5251,675,5926,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:28:11.562060,4423,S,1846,1985,3831,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:28:15.679714,4423,A,5540,776,6316,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:28:18.600392,4423,B,3081,504,3585,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:28:31.158931,4424,S,1846,2561,4407,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:28:36.181782,4424,A,6121,921,7042,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:28:39.096523,4424,B,3227,441,3668,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:28:50.460781,4425,S,1846,2061,3907,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:28:55.306951,4425,A,5616,912,6528,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:28:58.038745,4425,B,3218,464,3682,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:29:07.750300,4426,S,1846,1743,3589,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:29:12.110025,4426,A,5298,650,5948,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:29:15.043009,4426,B,2955,462,3417,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:29:32.265576,4428,S,1838,2507,4345,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:29:37.564467,4428,A,6120,831,6951,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:29:40.706174,4428,B,3187,537,3724,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:29:53.456377,4429,S,1838,2031,3869,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:29:58.436617,4429,A,5640,687,6327,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:30:01.661803,4429,B,3042,554,3596,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:30:10.193867,4430,S,1846,1488,3334,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:30:14.327862,4430,A,5058,801,5859,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:30:17.254589,4430,B,3125,498,3623,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:30:28.865631,4431,S,1846,1632,3478,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:30:32.393312,4431,A,5208,690,5898,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:30:35.236411,4431,B,3015,486,3501,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:30:44.066767,4432,S,1846,1635,3481,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:30:48.208801,4432,A,5208,734,5942,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:30:51.938397,4432,B,3058,724,3782,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:31:02.291242,4433,S,1846,1967,3813,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:31:06.037107,4433,A,5541,724,6265,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:31:09.082427,4433,B,3048,483,3531,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:31:19.216631,4434,S,1846,1924,3770,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:31:23.551320,4434,A,5505,849,6354,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:31:26.698885,4434,B,3183,471,3654,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:31:38.637301,4435,S,1846,1923,3769,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:31:42.366919,4435,A,5512,642,6154,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:31:45.236013,4435,B,2976,448,3424,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:31:55.040528,4436,S,1846,1838,3684,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:32:00.091567,4436,A,5420,895,6315,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:32:03.223326,4436,B,3229,468,3697,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:32:16.122370,4437,S,1846,2153,3999,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:32:19.767193,4437,A,5736,637,6373,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:32:22.793585,4437,B,2971,434,3405,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:32:33.628685,4438,S,1846,2206,4052,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:32:37.363239,4438,A,5793,706,6499,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:32:40.323889,4438,B,3040,406,3446,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:32:49.167674,4439,S,1846,1704,3550,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:32:53.630567,4439,A,5288,749,6037,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:32:56.954322,4439,B,3083,508,3591,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:33:05.980185,4440,S,1846,1682,3528,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:33:10.178378,4440,A,5264,651,5915,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:33:13.538886,4440,B,2985,506,3491,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:33:23.338328,4441,S,1846,1756,3602,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:33:27.082505,4441,A,5337,673,6010,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:33:30.198772,4441,B,3007,495,3502,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:33:39.588995,4443,S,1846,1708,3554,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:33:43.416077,4443,A,5309,771,6080,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:33:46.548062,4443,B,3124,501,3625,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:33:57.972125,4444,S,1846,1806,3652,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:34:02.021180,4444,A,5423,771,6194,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:34:04.941103,4444,B,3133,425,3558,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:34:19.686505,4446,S,1837,1986,3823,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:34:23.617644,4446,A,5652,693,6345,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:34:26.571530,4446,B,3105,516,3621,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:34:40.460769,4447,S,1837,1905,3742,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:34:44.711642,4447,A,5579,782,6361,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:34:48.044454,4447,B,3204,489,3693,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:35:00.468755,4448,S,1846,2062,3908,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:35:04.970031,4448,A,5712,788,6500,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:35:08.130019,4448,B,3179,438,3617,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:35:18.095003,4449,S,1846,1861,3707,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:35:22.602942,4449,A,5502,865,6367,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:35:25.633083,4449,B,3256,492,3748,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:35:38.078042,4451,S,1838,1956,3794,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:35:42.448406,4451,A,5651,667,6318,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:35:45.717973,4451,B,3108,500,3608,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:35:55.151365,4452,S,1846,1408,3254,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:36:00.215467,4452,A,5075,801,5876,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:36:03.842347,4452,B,3220,589,3809,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:36:14.015384,4453,S,1846,1861,3707,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:36:18.393122,4453,A,5531,827,6358,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:36:21.740561,4453,B,3246,583,3829,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:36:32.255547,4454,S,1846,1815,3661,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:36:36.193677,4454,A,5484,708,6192,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:36:39.223773,4454,B,3127,497,3624,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:36:48.645782,4456,S,1846,1627,3473,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:36:52.715280,4456,A,5314,679,5993,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:36:55.849676,4456,B,3120,454,3574,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:37:09.508546,4457,S,1838,2076,3914,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:37:13.472520,4457,A,5815,625,6440,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:37:16.692613,4457,B,3108,533,3641,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:37:30.788617,4459,S,1836,2082,3918,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:37:35.068719,4459,A,5835,702,6537,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:37:38.299826,4459,B,3202,507,3709,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:37:50.226690,4460,S,1846,2015,3861,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:37:54.587836,4460,A,5745,831,6576,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:37:57.961776,4460,B,3311,510,3821,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:38:09.863431,4461,S,1846,2285,4131,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:38:14.404850,4461,A,6017,725,6742,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:38:18.337949,4461,B,3204,610,3814,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:38:31.165640,4463,S,1846,2081,3927,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:38:36.811879,4463,A,5840,940,6780,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:38:40.059872,4463,B,3441,529,3970,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:38:54.879568,4464,S,1838,2231,4069,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:38:59.382858,4464,A,6018,661,6679,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:39:01.908047,4464,B,3194,319,3513,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:39:11.123940,4465,S,1846,1808,3654,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:39:15.586999,4465,A,5568,640,6208,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:39:18.840604,4465,B,3151,415,3566,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:39:33.643214,4466,S,1839,2314,4153,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:39:39.029746,4466,A,6117,1003,7120,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:39:41.972551,4466,B,3547,606,4153,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:39:51.838669,4468,S,1846,1624,3470,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:39:56.068389,4468,A,5405,723,6128,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:39:59.482660,4468,B,3256,556,3812,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:40:12.592827,4469,S,1839,1924,3763,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:40:16.459089,4469,A,5748,690,6438,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:40:19.537275,4469,B,3255,538,3793,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:40:29.105012,4470,S,1846,1782,3628,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:40:33.576728,4470,A,5564,784,6348,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:40:36.718841,4470,B,3317,525,3842,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:40:49.557239,4471,S,1846,2329,4175,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:40:53.684076,4471,A,6119,729,6848,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:40:58.037329,4471,B,3262,768,4030,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:41:09.079152,4472,S,1846,2054,3900,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:41:13.221064,4472,A,5844,585,6429,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:41:16.656227,4472,B,3128,444,3572,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:41:26.887054,4473,S,1846,2049,3895,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:41:31.444619,4473,A,5840,650,6490,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:42:17.248285,4474,S,1846,2056,3902,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:42:21.708270,4474,A,5850,740,6590,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:42:25.247723,4474,B,3282,558,3840,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:42:35.412454,4475,S,1846,1986,3832,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:42:39.904837,4475,A,5777,755,6532,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:43:26.389451,4477,S,1846,1929,3775,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:43:31.188232,4477,A,5739,752,6491,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:44:13.531679,4478,S,1846,1634,3480,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:44:17.417895,4478,A,5439,618,6057,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:44:20.250577,4478,B,3180,455,3635,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:44:28.043882,4479,S,1846,1581,3427,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:44:32.309959,4479,A,5386,781,6167,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:44:35.509049,4479,B,3342,543,3885,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:44:42.965825,4480,S,1846,1467,3313,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:44:46.516994,4480,A,5274,641,5915,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:44:49.346246,4480,B,3202,438,3640,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:44:58.253153,4481,S,1846,1809,3655,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:45:03.125621,4481,A,5616,862,6478,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-11T15:45:06.241109,4481,B,3423,535,3958,Qwen3-Next-80B-A3B-Instruct,Estimated from text
